821e54d2-ec63-4175-8827-eede52dddda4,Mazda,CX-5,2020
ecd9a424-e18b-43cd-a6cf-037086cd9a7a,Mersedes,C-Class Cabriot,2018
5d401d5c-2828-45ba-868b-9ed492c2757b,BMW,M4,2017
2a989975-5782-4b17-8912-1e40c45067a2,Skoda,Octavia,2016
26e01bad-8a70-4765-aa1a-7632c309fb22,Honda,CR-V,2020
cca7f11e-ae7c-4311-bd47-e7313572d3d3,Seat,Leon,2021
3a15a1ac-a37a-4324-b9f0-a88d2a9ea923,Infinity,EX,2018
94031b01-8e8c-4601-a434-f59db469f6a7,Nissan,X-Trail 2.0,2019
15a1c543-f458-418a-940a-354fa1f87d0c,Toyota,RAV4,2017
37bbafac-8f0b-42ab-b40f-12c5ef061581,Cadillak,CT4-V,2016
